diary_date,note,source_file,worksheet
2025-09-22,Cement stabe completed of HV @ bayley street,002-Supervisor_Reports/Supervisor Report - September.xlsx,22
2025-09-22,Import 5x loads of top soil material for planting bedding,002-Supervisor_Reports/Supervisor Report - September.xlsx,22
2025-09-26,Import of sub base material continued until 4.55pm,002-Supervisor_Reports/Supervisor Report - September.xlsx,26
2025-09-26,Testing completed @ bayley including proof rolling,002-Supervisor_Reports/Supervisor Report - September.xlsx,26
2025-10-03,All perimeter fencing checked for clips/damage etc.,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,Back fill trench in 300mm lifts along chambers to the intersection 100% completed,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,General tidy around site for next weeks works,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,Installed gas tape along side laterals and send to Chris herring as proof,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,Removed of any material from boxing out for wombat ramps,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-03,Start works on re-installation of 25mm laterals along chambers 98% complete,002-Supervisor_Reports/Supervisor Report 04.10.xlsx,04
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 13.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 14.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 15.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 16.10.xlsx,16
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 17.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 18.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 20.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 22.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 23.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 24.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report - 25.10.xlsx,11
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report 06.10.xlsx,06
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report 08.10.xlsx,08
2025-10-06,Vac truck works completed,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,11
2025-10-07,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report 07.10.xlsx,07
2025-10-07,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 07.10.xlsx,07
2025-10-07,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report 07.10.xlsx,07
2025-10-07,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report 07.10.xlsx,07
2025-10-07,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report 07.10.xlsx,07
2025-10-07,Vac truck works completed,002-Supervisor_Reports/Supervisor Report 07.10.xlsx,07
2025-10-10,Atco back on site to witness test holding for 24hrs completed and passed,002-Supervisor_Reports/Supervisor Report 10.10.xlsx,10
2025-10-10,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 10.10.xlsx,10
2025-10-10,Formwork of wombat ramps at chambers/monument intersection completed including concrete,002-Supervisor_Reports/Supervisor Report 10.10.xlsx,10
2025-10-10,Paul vermeer on site to raise water corp lid and review 3x lids have been raised ready to be checked monday by HDT 1 lid outstanding,002-Supervisor_Reports/Supervisor Report 10.10.xlsx,10
2025-10-10,"Start off hire SD Roller,Multi Roller,5T Excavator cleaing etc",002-Supervisor_Reports/Supervisor Report 10.10.xlsx,10
2025-10-10,Vac truck works completed,002-Supervisor_Reports/Supervisor Report 10.10.xlsx,10
2025-10-15,Excavation works contd on trenching for midwest kerbing (TCD to complete this to keep in line with program) x1 completed,002-Supervisor_Reports/Supervisor Report 11.10.xlsx,15
2025-10-15,Vac truck (completed vaccing light poles and signage),002-Supervisor_Reports/Supervisor Report 11.10.xlsx,15
2025-10-21,AMG cont'd work on NBN pits and lids,002-Supervisor_Reports/Supervisor Report - 21.10.xlsx,21
2025-10-21,Cat west completed from C-link ramp to chambers intersection & cont'd through to monument with car park spaces,002-Supervisor_Reports/Supervisor Report - 21.10.xlsx,21
2025-10-21,Superstruct complete forming of forest end ramps,002-Supervisor_Reports/Supervisor Report - 21.10.xlsx,21
2025-10-21,Trimmig @ verge contd chambers,002-Supervisor_Reports/Supervisor Report - 21.10.xlsx,21
2025-10-21,Works cont'd on excations for midwest kerbing @ chambers and the intersection,002-Supervisor_Reports/Supervisor Report - 21.10.xlsx,21
2025-10-27,Atco visited site and confirmed that the works are now completed on excavations for gas connections,002-Supervisor_Reports/Supervisor Report - 27.10.xlsx,27
2025-10-28,2x loads of sand were picked up by Aideen with the small tipper from patience sand for Atco gas to use for back fill,002-Supervisor_Reports/Supervisor Report - 28.10.xlsx,28
2025-10-28,2x tippers ran until 3pm and removed 320m2 of material from site,002-Supervisor_Reports/Supervisor Report - 28.10.xlsx,28
2025-10-28,Aideen picked up rubber matting from kimberly quarries,002-Supervisor_Reports/Supervisor Report - 28.10.xlsx,28
2025-10-28,Atco on site and connection completed/live finsihed 3.30pm,002-Supervisor_Reports/Supervisor Report - 28.10.xlsx,28
2025-10-28,Rubber matting installed for ACP to lay blocks,002-Supervisor_Reports/Supervisor Report - 28.10.xlsx,28
2025-10-29,Aideen went across 500m from site to where we were offloading the excess material that they carted yesterday to do some conditioning (this was agreed as they gave us a load of clean sand for atco installation),002-Supervisor_Reports/Supervisor Report - 29.10.xlsx,29
2025-10-29,Josh HTD picked up ashphalt ascon with UTS,002-Supervisor_Reports/Supervisor Report - 29.10.xlsx,29
2025-10-29,Paitence arrived with 2x 6 wheel tipper loads of plaster sand (TCD bought this for ACP as they needed extra sand),002-Supervisor_Reports/Supervisor Report - 29.10.xlsx,29
2025-10-30,5.30am start for both Ultan & Jamie as kerbing contractor had concrete organised,002-Supervisor_Reports/Supervisor Report - 30.10.xlsx,30
2025-10-30,All spoil/excess material loaded out at railway station adjacent to sump (Note same 2x tippers that were on site the previous day),002-Supervisor_Reports/Supervisor Report - 30.10.xlsx,30
2025-10-30,Core testing of Ashpelt was completed,002-Supervisor_Reports/Supervisor Report - 30.10.xlsx,30
2025-10-30,Kerbing was replaced in 2x sections @ chambers,002-Supervisor_Reports/Supervisor Report - 30.10.xlsx,30
2025-10-30,Other damage found from Catwest re works see photo below,002-Supervisor_Reports/Supervisor Report - 30.10.xlsx,30
2025-10-30,P5 pit @chambers has been refitted to 2% fall (note this was back charged to elite electrical),002-Supervisor_Reports/Supervisor Report - 30.10.xlsx,30
2025-10-30,Paving left on pavement instead of rubber matting provided,002-Supervisor_Reports/Supervisor Report - 30.10.xlsx,30
2025-10-30,Verge completed with string lines at Clink/forest carpark,002-Supervisor_Reports/Supervisor Report - 30.10.xlsx,30
2025-10-31,Bin/furniture delivery now on site,002-Supervisor_Reports/Supervisor Report - 31.10.xlsx,31
2025-10-31,Elite electrical on site and re fitted light pole at foreshore instersection,002-Supervisor_Reports/Supervisor Report - 31.10.xlsx,31
2025-10-31,Picked up small vac truck for use on saturday from kennards to vac holes for signage,002-Supervisor_Reports/Supervisor Report - 31.10.xlsx,31
2025-11-01,ACP added more pave lock and compacted the pavers adjacent to c-link ramp to remove deviations,002-Supervisor_Reports/Supervisor Report - 01.11.xlsx,01
2025-11-01,DEX30 picked up from geraldton transport,002-Supervisor_Reports/Supervisor Report - 01.11.xlsx,01
2025-11-01,Extra matting layed out on the southern end for ACP,002-Supervisor_Reports/Supervisor Report - 01.11.xlsx,01
2025-11-03,Aideen picked up extra matting from kimberly quarries as protection,002-Supervisor_Reports/Supervisor Report - 03.11.xlsx,03
2025-11-03,Sample haunch approved for pavers approved,002-Supervisor_Reports/Supervisor Report - 03.11.xlsx,03
2025-11-03,Ultan & Ikhy repaired ashpalt at the northern end of monument from the damage ACP,002-Supervisor_Reports/Supervisor Report - 03.11.xlsx,03
2025-11-04,1x load of clean sand delivered to site for TCD use,002-Supervisor_Reports/Supervisor Report - 04.11.xlsx,04
2025-11-04,1x load of road base delivered to site,002-Supervisor_Reports/Supervisor Report - 05.11.xlsx,05
2025-11-04,1x load of road base delivered to site,002-Supervisor_Reports/Supervisor Report - 06.11.xlsx,05
2025-11-04,1x load of road base delivered to site,002-Supervisor_Reports/Supervisor Report - 07.11.xlsx,05
2025-11-04,1x load of road base delivered to site,002-Supervisor_Reports/Supervisor Report - 08.11.xlsx,05
2025-11-04,9x packs of 1m limestone blocks delivered to site,002-Supervisor_Reports/Supervisor Report - 04.11.xlsx,04
2025-11-04,ACP HardStand had 1x load of sand delivered (semi load),002-Supervisor_Reports/Supervisor Report - 05.11.xlsx,05
2025-11-04,ACP HardStand had 1x load of sand delivered (semi load),002-Supervisor_Reports/Supervisor Report - 06.11.xlsx,05
2025-11-04,ACP HardStand had 1x load of sand delivered (semi load),002-Supervisor_Reports/Supervisor Report - 07.11.xlsx,05
2025-11-04,ACP HardStand had 1x load of sand delivered (semi load),002-Supervisor_Reports/Supervisor Report - 08.11.xlsx,05
2025-11-04,ACP had 1x loads of pavers delivered to site and set out as per kester (ACP Supervisor),002-Supervisor_Reports/Supervisor Report - 04.11.xlsx,04
2025-11-04,Auger used for planter root bowl @ 300mm depth (Skyline services provided 800mm auger,002-Supervisor_Reports/Supervisor Report - 04.11.xlsx,04
2025-11-04,Final 3x loads from patience sand land of RLM delivered to site,002-Supervisor_Reports/Supervisor Report - 04.11.xlsx,04
2025-11-04,Loaded out final material off lots into semi's,002-Supervisor_Reports/Supervisor Report - 04.11.xlsx,04
2025-11-04,Temp fencing adjacent to sump installed,002-Supervisor_Reports/Supervisor Report - 05.11.xlsx,05
2025-11-04,Temp fencing adjacent to sump installed,002-Supervisor_Reports/Supervisor Report - 06.11.xlsx,05
2025-11-04,Temp fencing adjacent to sump installed,002-Supervisor_Reports/Supervisor Report - 07.11.xlsx,05
2025-11-04,Temp fencing adjacent to sump installed,002-Supervisor_Reports/Supervisor Report - 08.11.xlsx,05
2025-11-10,1x skip bin replaced,002-Supervisor_Reports/Supervisor Report - 10.11.xlsx,10
2025-11-10,ACP HardStand had a delivery of paving bricks completed off load 7pm,002-Supervisor_Reports/Supervisor Report - 10.11.xlsx,10
2025-11-10,All mulch now delivered to site,002-Supervisor_Reports/Supervisor Report - 10.11.xlsx,10
2025-11-10,Formwork set at large garden bed for concrete tomorrow 9.30am,002-Supervisor_Reports/Supervisor Report - 10.11.xlsx,10
2025-11-10,Geraldton natural limestone dropped off a block lifter,002-Supervisor_Reports/Supervisor Report - 10.11.xlsx,10
